id,slug,title,url,sector_clean,country_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw
56,cost-benefit-analysis-of-early-childhood-intervention,Reports Database:Cost benefit analysis of early childhood intervention,https://socialvalueuk.org/reports/cost-benefit-analysis-of-early-childhood-intervention/,education,USA,2009,Unknown,charity,0,,,0,1,1,1,5000,1,1,0,0,0,1,1,0,4,25.0,0,
57,alliance-of-sector-skills-councils-evaluating-economic-impact,Reports Database:Alliance of Sector Skills Councils – Evaluating Economic Impact,https://socialvalueuk.org/reports/alliance-of-sector-skills-councils-evaluating-economic-impact/,education,UK,2010,Unknown,charity,1,,,3,1,1,1,5000,2,1,1,1,0,0,1,0,6,37.5,0,
59,alana-house-sroi,Reports Database:Alana House SROI,https://socialvalueuk.org/reports/alana-house-sroi/,education,UK,2010,Unknown,charity,0,,,2,1,1,1,5000,1,1,1,1,0,1,1,0,6,37.5,0,
60,hact-the-social-impact-of-housing-providers,Reports Database:HACT – The social impact of housing providers,https://socialvalueuk.org/reports/hact-the-social-impact-of-housing-providers/,health,Unknown,2012,Unknown,charity,0,,,0,1,1,1,5000,0,1,2,1,0,1,1,1,7,43.8,0,
61,social-return-on-investment-developing-power,Reports Database:Social Return on Investment: Developing Power,https://socialvalueuk.org/reports/social-return-on-investment-developing-power/,education,Philippines,2002,Unknown,unknown,0,,,0,1,1,1,5000,1,1,1,0,0,1,0,0,4,25.0,0,
62,pact-witney-childrens-centre-sroi-evaluation,Reports Database:PACT Witney Children’s Centre SROI Evaluation,https://socialvalueuk.org/reports/pact-witney-childrens-centre-sroi-evaluation/,education,UK,2011,Unknown,charity,0,,,1,1,1,1,5000,0,1,1,1,0,1,1,0,5,31.2,0,
63,investing-in-natural-capital-a-financial-assessment-of-social-forestry-in-northern-india,Reports Database:Investing in Natural Capital: A financial assessment of social forestry in Northern,https://socialvalueuk.org/reports/investing-in-natural-capital-a-financial-assessment-of-social-forestry-in-northern-india/,environment,India,2006,Unknown,charity,0,,,0,1,1,1,5000,2,1,1,0,0,1,1,0,6,37.5,0,
64,capturing-the-outcomes-of-hub-mueseums-sustainability-activities,Reports Database:Capturing the outcomes of Hub museums sustainability activities,https://socialvalueuk.org/reports/capturing-the-outcomes-of-hub-mueseums-sustainability-activities/,arts_culture,UK,2011,Unknown,unknown,0,,,21,1,1,1,5000,1,1,1,0,0,1,0,1,5,31.2,0,
65,sitra-the-costs-and-benefits-of-housing-related-support,Reports Database:Sitra – The costs and benefits of housing related support,https://socialvalueuk.org/reports/sitra-the-costs-and-benefits-of-housing-related-support/,health,Unknown,2011,Unknown,government,0,,,2,1,1,1,5000,1,1,0,0,0,1,1,1,5,31.2,0,
66,the-social-value-of-community-housing-in-australia,Reports Database:The Social Value of Community Housing in Australia,https://socialvalueuk.org/reports/the-social-value-of-community-housing-in-australia/,housing,Australia,2011,Unknown,unknown,0,,,6,1,1,1,5000,1,2,1,1,0,2,0,0,7,43.8,0,
68,the-michael-project-2007-2010-new-perspectives-and-possibilities-for-homeless-men,"Reports Database:The Michael Project, 2007-2010: New perspectives and possibilities for homeless men",https://socialvalueuk.org/reports/the-michael-project-2007-2010-new-perspectives-and-possibilities-for-homeless-men/,housing,Australia,2007,Unknown,unknown,0,,,0,1,1,1,5000,2,1,0,0,0,1,0,1,5,31.2,0,
69,young-foundation-outcomes-framework-for-young-peoples-services,Reports Database:Young Foundation: Outcomes Framework for young peoples services,https://socialvalueuk.org/reports/young-foundation-outcomes-framework-for-young-peoples-services/,employment,UK,2012,Unknown,social_enterprise,0,,,0,1,1,1,5000,2,1,1,0,0,2,0,1,7,43.8,0,
70,st-giles-trust-an-analysis-of-economic-impact,Reports Database:St Giles Trust – An analysis of economic impact,https://socialvalueuk.org/reports/st-giles-trust-an-analysis-of-economic-impact/,employment,UK,2009,Unknown,charity,0,,"Costs 
£9.3",0,1,1,1,5000,0,1,1,0,2,1,1,0,6,37.5,0,
71,microeconomic-evidence-for-the-benefits-of-investment-in-the-environment,Reports Database:Microeconomic Evidence for the Benefits of Investment in the Environment,https://socialvalueuk.org/reports/microeconomic-evidence-for-the-benefits-of-investment-in-the-environment/,environment,UK,2012,Unknown,charity,0,,cost £250,0,1,1,1,5000,1,1,2,0,0,2,0,0,6,37.5,0,
