id,slug,title,url,sector_clean,sector_confidence,country_clean,country_confidence,year_clean,year_method,year_confidence,report_type_clean,type_note,type_confidence,assurance_clean,is_assured_raw,sroi_ratio_value,ratio_confidence,total_investment_raw,stakeholder_mentions,has_pdf,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,n_quality_flags
173,social-impact-analysis-for-sewa-day-on-6-october-2013,Reports Database:Social Impact Analysis for Sewa Day on 6 October 2013,https://socialvalueuk.org/reports/social-impact-analysis-for-sewa-day-on-6-october-2013/,youth,MEDIUM,UK,MEDIUM,2013,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,1,1,0,1,1,0,6,37.5,4
174,auckland-council-retrofit-your-home-financial-support-programme,Reports Database:Auckland Council Retrofit Your Home Financial Support Programme,https://socialvalueuk.org/reports/auckland-council-retrofit-your-home-financial-support-programme/,education,MEDIUM,New Zealand,MEDIUM,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,1,1,,N/A,,10,1,1,5000,2,1,1,0,1,1,0,1,7,43.8,4
175,the-social-return-on-investment-of-food-for-life-school-meals-in-east-ayrshire,Reports Database:The Social Return on Investment of Food for Life School Meals in East Ayrshire,https://socialvalueuk.org/reports/the-social-return-on-investment-of-food-for-life-school-meals-in-east-ayrshire/,education,LOW,UK,MEDIUM,,scraped_date_fallback,NONE,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,7,1,1,5000,1,2,1,2,0,2,0,2,10,62.5,1
176,cockpit-arts-sroi-evaluation-of-the-business-growth-loan-scheme,Reports Database:Cockpit Arts SROI Evaluation of the Business Growth Loan Scheme,https://socialvalueuk.org/reports/cockpit-arts-sroi-evaluation-of-the-business-growth-loan-scheme/,arts_culture,MEDIUM,USA,MEDIUM,2010,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,16,1,1,5000,2,2,1,1,0,1,2,2,11,68.8,3
177,social-leisure-youth-program-sroi-case-study,Reports Database:Social Leisure Youth Program SROI Case Study,https://socialvalueuk.org/reports/social-leisure-youth-program-sroi-case-study/,disability,MEDIUM,Unknown,NONE,2012,explicit_pattern,HIGH,Forecast,keyword_match,MEDIUM,0,0,,N/A,,0,1,1,5000,2,2,1,0,0,1,0,0,6,37.5,2
178,the-outward-bound-trust-social-impact-report-2014,Reports Database:The Outward Bound Trust Social Impact Report 2014,https://socialvalueuk.org/reports/the-outward-bound-trust-social-impact-report-2014/,employment,LOW,UK,MEDIUM,2014,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,2,1,0,0,0,1,0,1,5,31.2,1
179,foodcycle-social-impact-report-2014,Reports Database:FoodCycle Social Impact Report 2014,https://socialvalueuk.org/reports/foodcycle-social-impact-report-2014/,social_inclusion,MEDIUM,UK,MEDIUM,2014,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,1,0,0,0,0,0,3,18.8,3
180,accountability-lab-impact-report-2013,Reports Database:Accountability Lab Impact Report 2013,https://socialvalueuk.org/reports/accountability-lab-impact-report-2013/,housing,LOW,Nepal,MEDIUM,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,5,1,1,5000,1,1,0,0,0,2,0,1,5,31.2,0
181,building-a-qualilty-part-time-jobs-market-a-transformative-approach-for-families,Reports Database:Building a Qualilty Part Time Jobs Market: A transformative approach for families,https://socialvalueuk.org/reports/building-a-qualilty-part-time-jobs-market-a-transformative-approach-for-families/,social_inclusion,MEDIUM,UK,MEDIUM,,scraped_date_fallback,NONE,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,1,0,0,0,1,0,3,18.8,2
182,the-landmarc-difference,Reports Database:The Landmarc Difference,https://socialvalueuk.org/reports/the-landmarc-difference/,environment,MEDIUM,UK,HIGH,2003,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,2,1,1,5000,1,1,1,0,0,1,1,0,5,31.2,4
183,water-for-life-collaborations-for-the-public-good,Reports Database:Water for Life: Collaborations for the Public Good,https://socialvalueuk.org/reports/water-for-life-collaborations-for-the-public-good/,housing,LOW,India,HIGH,2002,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,4,1,1,5000,0,1,1,0,0,1,0,1,4,25.0,3
184,now-impact-card-2013-2014,Reports Database:NOW Impact Card 2013-2014,https://socialvalueuk.org/reports/now-impact-card-2013-2014/,other,LOW,Unknown,NONE,2013,title,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,0,0,,,,,,,,,,,0
