,Coef.,Std. Err.,z,P>|z|,CI_low,CI_high,Sig.
const,26.98291721079203,1.893195857110541,14.252575669574021,4.320473611276049e-46,23.272321515174934,30.69351290640913,***
sec_education,-0.16629239408148258,2.512277701614804,-0.06619188395239732,0.947225058272997,-5.090266208409563,4.757681420246598,
sec_employment,0.8068346322688738,2.7764899255548823,0.2905951953373746,0.7713609351465017,-4.634985625256991,6.248654889794739,
sec_health,8.88328316032934,4.020888596794966,2.209283581596906,0.027154922452982008,1.002486324763412,16.764079995895266,*
sec_environment,1.922117039852046,4.026017083815697,0.4774239651338838,0.6330602523136166,-5.968731445569696,9.812965525273787,
sec_disability,2.1956055139522164,4.465284066932532,0.49170567449710045,0.6229274261890609,-6.5561904379760865,10.94740146588052,
sec_arts_culture,2.337265615989853,4.717302239184123,0.49546658184744435,0.6202708057231241,-6.9084768770011795,11.583008108980886,
cty_Australia,-6.689192362778191,3.136308058851681,-2.1328237651588835,0.03293918595889939,-12.836243202550214,-0.5421415230061681,*
cty_USA,3.0961189353962424,4.423996919054681,0.699846539689232,0.48402314676478086,-5.574755693667093,11.766993564459579,
cty_Canada,0.6049328575270716,5.71206505973027,0.10590440606004534,0.9156581982002443,-10.59050893689389,11.800374651948033,
org_government,2.2688268370129934,2.2616760808985066,1.0031617065657104,0.3157828458353886,-2.163976826243777,6.701630500269763,
org_private,1.6636659647365566,3.4178046841080327,0.48676449314737086,0.6264252353978099,-5.035108122307484,8.362440051780597,
org_social_enterprise,6.030957579574578,4.057090869130579,1.4865226769907158,0.1371409232053447,-1.920794405927662,13.982709565076817,
assured,10.394116505924124,3.1201254344606353,3.3313136680740265,0.0008643714539915908,4.2787830271338905,16.509449984714358,***
year_std,0.21512941131962807,0.9656550395565658,0.22278080940624168,0.8237061045561953,-1.6775196877008423,2.1077785103400983,
log_stakeholders,7.472776396964889,1.0316705025633839,7.243375068296843,4.37654391393786e-13,5.450739368028319,9.494813425901459,***
