id,slug,title,url,sector_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw,country_clean
297,enabling-enterprise-impact-report-2014,Reports Database:Enabling Enterprise Impact Report 2014,https://socialvalueuk.org/reports/enabling-enterprise-impact-report-2014/,education,2014.0,Unknown,private,0,,,0,1,1,1,5000,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,31.2,0,2023.0,UK
298,solaraid-impact-report-autumn-2015,Reports Database:SolarAid Impact Report Autumn 2015,https://socialvalueuk.org/reports/solaraid-impact-report-autumn-2015/,environment,2009.0,Unknown,charity,0,,,0,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,12.5,0,2023.0,USA
299,tottenham-hotspur-foundation-201415-social-audit-and-impact-report,Reports Database:Tottenham Hotspur Foundation 2014/15 Social Audit and Impact Report,https://socialvalueuk.org/reports/tottenham-hotspur-foundation-201415-social-audit-and-impact-report/,sports,2014.0,Unknown,unknown,0,,,1,1,1,1,5000,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,43.8,0,2023.0,UK
300,the-value-of-return-home-interviews-and-follow-up-support-when-young-people-go-missing-a-social-return-on-investment-analysis,Reports Database:The value of return home interviews and follow-up support when young people go miss,https://socialvalueuk.org/reports/the-value-of-return-home-interviews-and-follow-up-support-when-young-people-go-missing-a-social-return-on-investment-analysis/,housing,2014.0,Unknown,charity,0,,,4,1,1,1,5000,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,10.0,62.5,0,2023.0,UK
301,counting-on-uncertainty-the-economic-case-for-community-based-adaptation-in-north-east-kenya,Reports Database:Counting on uncertainty: The economic case for community based adaptation in North-,https://socialvalueuk.org/reports/counting-on-uncertainty-the-economic-case-for-community-based-adaptation-in-north-east-kenya/,social_inclusion,2000.0,Unknown,charity,0,,,1,1,1,1,5000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,8.0,50.0,0,2023.0,UK
302,cost-benefit-analysis-for-a-minimum-standard-for-rental-housing,Reports Database:Cost benefit analysis for a minimum standard for rental housing,https://socialvalueuk.org/reports/cost-benefit-analysis-for-a-minimum-standard-for-rental-housing/,housing,2014.0,Unknown,government,0,,"total costs of 
$653",0,1,1,1,5000,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,37.5,0,2023.0,Australia
303,cost-benefit-analysis-for-crime-prevention-opportunity-costs-routine-savings-and-crime-externalities,"Reports Database:Cost-Benefit Analysis for Crime Prevention: Opportunity, Costs, Routine Savings and",https://socialvalueuk.org/reports/cost-benefit-analysis-for-crime-prevention-opportunity-costs-routine-savings-and-crime-externalities/,education,1999.0,Unknown,unknown,0,,,0,1,1,1,5000,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,25.0,0,2023.0,UK
304,demonstrating-the-benefits-of-early-response-cash-ofr-work-in-the-sahel,Reports Database:Demonstrating the Benefits of Early Response: Cash for Work in the Sahel,https://socialvalueuk.org/reports/demonstrating-the-benefits-of-early-response-cash-ofr-work-in-the-sahel/,other,2013.0,Unknown,unknown,0,,,0,1,1,1,5000,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,25.0,0,2023.0,UK
305,measuring-impact-and-cost-benefit-a-sudanese-case-study,Reports Database:Measuring impact and cost benefit: a Sudanese case study,https://socialvalueuk.org/reports/measuring-impact-and-cost-benefit-a-sudanese-case-study/,housing,,Unknown,unknown,0,,,0,1,1,1,5000,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,25.0,0,2023.0,Sudan
306,cost-benefit-study-of-disaster-risk-mitigation-measures-in-three-islands-in-the-maldives,Reports Database:Cost-Benefit Study of Disaster Risk Mitigation Measures in Three Islands in the Mal,https://socialvalueuk.org/reports/cost-benefit-study-of-disaster-risk-mitigation-measures-in-three-islands-in-the-maldives/,arts_culture,2009.0,Unknown,government,0,,,2,1,1,1,5000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,0,2023.0,UK
