id,slug,title,url,sector_clean,country_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw
374,community-first-moray-sroi-analysis,Reports Database:Community First (Moray) SROI Analysis,https://socialvalueuk.org/reports/community-first-moray-sroi-analysis/,disability,UK,2007,Unknown,government,0,6.45,"investment of £44,133,",33,1,1,1,5000,1,2,1,1,2,1,2,0,10,62.5,0,2023
142,a-balanced-family,Reports Database:The social return on investment of a coaching course for (ex) convict mums,https://socialvalueuk.org/reports/a-balanced-family/,health,Unknown,2014,Unknown,government,1,6.2,"investment 

6.1",10,1,1,1,5000,2,2,0,1,0,2,2,2,11,68.8,0,2023
32,measuring-the-sroi-of-stage-3-adaptations-and-very-sheltered-housing,Reports Database:Measuring the SROI of Stage 3 Adaptations and Very Sheltered Housing,https://socialvalueuk.org/reports/measuring-the-sroi-of-stage-3-adaptations-and-very-sheltered-housing/,housing,UK,,Unknown,government,0,6.0,"cost of £2,800",2,1,1,1,5000,1,1,1,0,0,1,0,2,6,37.5,0,
103,traveller-womens-community-development-programme-a-social-return-on-investment-sroi-evaluation,Reports Database:Traveller Women’s Community Development Programme: A Social Return on Investment (S,https://socialvalueuk.org/reports/traveller-womens-community-development-programme-a-social-return-on-investment-sroi-evaluation/,education,Ireland,2009,Forecast,government,0,5.6,investment of £1,4,1,1,1,5000,2,1,2,0,0,1,1,0,7,43.8,0,
119,choices-plus-an-sroi-study,Reports Database:Choices Plus: An SROI Study,https://socialvalueuk.org/reports/choices-plus-an-sroi-study/,employment,UK,2007,Unknown,unknown,0,5.5,"Inputs 

4.4",9,1,1,1,5000,2,2,1,2,0,1,2,2,12,75.0,0,
94,ashram-employment-and-skills-service,Reports Database:Ashram Employment and Skills Service,https://socialvalueuk.org/reports/ashram-employment-and-skills-service/,employment,UK,2012,Unknown,unknown,1,5.19,Investment of £5.19,11,1,1,1,5000,2,2,2,0,0,2,2,2,12,75.0,0,
366,cambridgeshires-funded-two-year-old-childcare-social-return-on-investment-report,Reports Database:Cambridgeshire’s Funded Two-year-old Childcare Social Return on Investment Report,https://socialvalueuk.org/reports/cambridgeshires-funded-two-year-old-childcare-social-return-on-investment-report/,education,Unknown,2013,Forecast,government,1,5.1,,15,1,1,1,5000,2,1,1,1,2,2,2,2,13,81.2,0,2023
84,the-social-return-on-investment-of-drug-and-alcohol-family-support-services,Reports Database:The Social Return on Investment of Drug and Alcohol Family Support Services,https://socialvalueuk.org/reports/the-social-return-on-investment-of-drug-and-alcohol-family-support-services/,health,UK,2005,Unknown,charity,0,4.7,,8,1,1,1,5000,1,1,1,1,0,2,0,0,6,37.5,0,
7,the-wise-group-cadder-environmental-improvement-project-social-return-on-investment-report,Reports Database:The Wise Group Cadder Environmental Improvement Project Social Return on Investment,https://socialvalueuk.org/reports/the-wise-group-cadder-environmental-improvement-project-social-return-on-investment-report/,employment,UK,2007,Unknown,government,0,4.65,investment of £4.65,6,1,1,1,5000,2,2,1,0,0,0,1,2,8,50.0,0,
107,an-evaluation-of-social-added-value-for-horizon-care-and-repair-west-lothian,Reports Database:An evaluation of social added value for Horizon Care and Repair West Lothian,https://socialvalueuk.org/reports/an-evaluation-of-social-added-value-for-horizon-care-and-repair-west-lothian/,disability,UK,2013,Unknown,government,1,4.53,"total investment of £489,463",10,1,1,1,5000,2,2,1,1,0,2,1,2,11,68.8,0,
108,care-repair-west-lothian-sroi-analysis-summary,Reports Database:Care & Repair West Lothian SROI Analysis (Summary),https://socialvalueuk.org/reports/care-repair-west-lothian-sroi-analysis-summary/,disability,UK,2001,Unknown,government,0,4.53,"total 
investment  of  £489,463",7,1,1,1,5000,2,2,1,1,0,1,1,1,9,56.2,0,
2,perth-ymca-get-ready-for-work-programme-social-retun-on-investment-report,Reports Database:Perth YMCA Get Ready for Work Programme Social Retun on Investment Report,https://socialvalueuk.org/reports/perth-ymca-get-ready-for-work-programme-social-retun-on-investment-report/,youth,UK,2008,Unknown,government,0,4.35,investment of £4.35,7,1,1,1,5000,1,2,1,0,0,1,1,2,8,50.0,0,
358,sroi-evaluation-analysis-conversations-project,Reports Database:SROI Evaluation Analysis “Conversations” Project,https://socialvalueuk.org/reports/sroi-evaluation-analysis-conversations-project/,education,Unknown,2012,Unknown,government,0,4.15,,8,1,1,1,5000,2,1,1,1,0,1,2,2,10,62.5,0,2023
100,national-specialist-family-service-phoenix-futures-sroi-forecast,Reports Database:National Specialist Family Service (Phoenix Futures) SROI Forecast,https://socialvalueuk.org/reports/national-specialist-family-service-phoenix-futures-sroi-forecast/,health,UK,,Forecast,government,0,3.95,,10,1,1,1,5000,1,1,2,1,0,1,1,0,7,43.8,0,
296,social-return-on-investment-of-tasmanian-youth-justice-programs,Reports Database:Social Return on Investment of Tasmanian youth justice programs,https://socialvalueuk.org/reports/social-return-on-investment-of-tasmanian-youth-justice-programs/,youth,Australia,2015,Unknown,government,0,3.5,,23,1,1,1,5000,1,2,1,0,2,2,0,0,8,50.0,0,2023
89,an-sroi-analysis-of-anchor-house,Reports Database:An SROI analysis of Anchor House,https://socialvalueuk.org/reports/an-sroi-analysis-of-anchor-house/,housing,UK,2011,Unknown,unknown,0,3.38,,0,1,1,1,5000,0,1,1,2,2,0,0,0,6,37.5,0,
246,be-by-gentoo,Reports Database:‘Be’ by Gentoo,https://socialvalueuk.org/reports/be-by-gentoo/,education,Unknown,2013,Unknown,private,1,3.35,,9,1,1,1,5000,2,2,1,1,0,2,2,2,12,75.0,0,2023
10,rnib-and-action-for-blind-people-social-firms-a-social-impact-measurement,Reports Database:RNIB and Action for Blind People Social Firms: A Social Impact Measurement,https://socialvalueuk.org/reports/rnib-and-action-for-blind-people-social-firms-a-social-impact-measurement/,disability,UK,2011,Unknown,social_enterprise,0,3.29,,3,1,1,1,5000,1,2,1,0,0,2,2,1,9,56.2,0,
109,trident-reach-homeless-link-transition-fund-project,Reports Database:Trident Reach – Homeless Link Transition Fund Project,https://socialvalueuk.org/reports/trident-reach-homeless-link-transition-fund-project/,justice,UK,2013,Forecast,government,0,3.2,"cost 
of £61,559",19,1,1,1,5000,1,1,1,1,0,1,0,0,5,31.2,0,
168,an-evaluation-of-the-social-value-of-the-get-into-reading-initiative-in-wirral-merseyside,"Reports Database:An evaluation of the social value of the Get Into Reading initiative in Wirral, Mer",https://socialvalueuk.org/reports/an-evaluation-of-the-social-value-of-the-get-into-reading-initiative-in-wirral-merseyside/,health,Australia,2013,Scoping,charity,0,3.2,investment of £3.20,10,1,1,1,5000,2,1,1,0,0,1,0,1,6,37.5,0,2023
264,the-benefits-on-investing-in-early-child-development-an-sroi-analysis-of-the-responsive-parenting-program-childfund-internationa-ecuador,Reports Database:The benefits on investing in Early Child Development: An SROI analysis of the Respo,https://socialvalueuk.org/reports/the-benefits-on-investing-in-early-child-development-an-sroi-analysis-of-the-responsive-parenting-program-childfund-internationa-ecuador/,housing,UK,2014,Unknown,unknown,0,3.2,"Costs

6",12,1,1,1,5000,2,2,1,0,2,1,0,1,9,56.2,0,2023
145,a-social-return-on-investment-analysis-on-emfils-microfinance-operations-in-kerala,Reports Database:A Social Return on Investment analysis on EMFIL’s microfinance operations in Kerala,https://socialvalueuk.org/reports/a-social-return-on-investment-analysis-on-emfils-microfinance-operations-in-kerala/,social_inclusion,USA,1998,Forecast,charity,0,3.19,,13,1,1,1,5000,1,1,1,0,0,1,0,0,4,25.0,0,2023
381,victorian-womens-housing-association-research-report,Reports Database:Victorian Women’s Housing Association Research Report,https://socialvalueuk.org/reports/victorian-womens-housing-association-research-report/,housing,Australia,2010,Unknown,charity,0,3.14,investment of $7.45,8,1,1,1,5000,0,1,1,0,0,0,1,0,3,18.8,0,2023
20,octavia-view-sroi-forecast,Reports Database:Octavia View SROI Forecast,https://socialvalueuk.org/reports/octavia-view-sroi-forecast/,housing,UK,2009,Forecast,charity,1,3.13,,19,1,1,1,5000,2,2,1,2,0,1,2,2,12,75.0,0,
24,country-education-foundation-of-australia-sroi-forecast,Reports Database:Country Education Foundation of Australia SROI Forecast,https://socialvalueuk.org/reports/country-education-foundation-of-australia-sroi-forecast/,education,Australia,2011,Forecast,charity,1,3.1,"investment of $708,125",15,1,1,1,5000,2,1,1,0,0,1,1,0,6,37.5,0,
33,fair-gains-sroi-case-study,Reports Database:Fair Gains SROI Case Study,https://socialvalueuk.org/reports/fair-gains-sroi-case-study/,education,Unknown,1999,Unknown,charity,0,3.08,,0,1,1,1,5000,2,2,1,0,0,0,0,1,6,37.5,0,
28,future-jobs-fund-programme-sroi-evaluation,Reports Database:Future Jobs Fund Programme SROI Evaluation,https://socialvalueuk.org/reports/future-jobs-fund-programme-sroi-evaluation/,employment,UK,2009,Unknown,unknown,0,2.9,,3,1,1,1,5000,2,1,0,0,0,2,0,1,6,37.5,0,
