id,title,sector,sector_confidence,sector_flag,country,country_confidence,country_flag,year,year_method,year_confidence,year_flag,report_type,type_note,type_confidence,type_flag,sroi_ratio,ratio_confidence,ratio_flag,quality_pct,n_quality_flags,all_flags
91,Reports Database:Work Related Learning Programme run by Action for Kids – SROI R,disability,LOW,TIED between disability and employment — ambiguous,UK,MEDIUM,NARROW margin (1),2012,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,56.2,3,SECTOR: TIED between disability and employment — ambiguous | COUNTRY: NARROW margin (1) | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
92,Reports Database:Daycare Trust Parent Champions Liverpool Prototype Project,housing,MEDIUM,NARROW margin over None (score diff=1),UK,MEDIUM,,2012,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,75.0,0,SECTOR: NARROW margin over None (score diff=1) | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found
96,Reports Database:National Association of Independent and Non-Maintained Special ,education,MEDIUM,,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2012,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,43.8,3,COUNTRY: UNKNOWN COUNTRY — manual review needed | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
97,Reports Database:Shelter Scotland ‘More than housing’,housing,HIGH,,UK,MEDIUM,NARROW margin (1),2011,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,50.0,0,COUNTRY: NARROW margin (1) | TYPE: ASSUMED EVALUATIVE — no keyword found
101,Reports Database:Galveston SROI Case Studies,environment,LOW,TIED between environment and housing — ambiguous,Canada,MEDIUM,NARROW margin (1),2013,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,50.0,2,SECTOR: TIED between environment and housing — ambiguous | COUNTRY: NARROW margin (1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
102,Reports Database:SROI Evaluative Analysis of Introduction to Supported Employmen,employment,LOW,TIED between employment and education — ambiguous,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2011,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,keyword_match,MEDIUM,,,N/A,,68.8,3,SECTOR: TIED between employment and education — ambiguous | COUNTRY: UNKNOWN COUNTRY — manual review needed | YEAR: CHECK: only 1 occurrence | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives
104,Reports Database:Measuring Social Return on Investment for Community Schools A C,education,LOW,TIED between education and social_inclusion — ambiguous,USA,MEDIUM,NARROW margin (1),2013,modal_3000chars,LOW,LOW CONFIDENCE — may be reference year,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,62.5,2,SECTOR: TIED between education and social_inclusion — ambiguous | COUNTRY: NARROW margin (1) | YEAR: LOW CONFIDENCE — may be reference year | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental
105,Reports Database:Worth Every Penny of Every Pound: The social value of equalitie,social_inclusion,MEDIUM,NARROW margin over None (score diff=1),UK,HIGH,,2011,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,25.0,2,SECTOR: NARROW margin over None (score diff=1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
106,Reports Database:Social Return on Investment (SROI) of Substance Misuse Work Lei,youth,LOW,TIED between youth and justice — ambiguous,UK,MEDIUM,,2013,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,81.2,1,SECTOR: TIED between youth and justice — ambiguous | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
111,Reports Database:Grounded: A  new approach to evaluating Runway 3,environment,LOW,TIED between environment and housing — ambiguous,UK,MEDIUM,NARROW margin (1),,scraped_date_fallback,NONE,UNKNOWN YEAR — scraped date not used; set to null,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,43.8,2,SECTOR: TIED between environment and housing — ambiguous | COUNTRY: NARROW margin (1) | YEAR: UNKNOWN YEAR — scraped date not used; set to null | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
113,Reports Database:Action for Children – Impact Report 2013,education,LOW,TIED between education and arts_culture — ambiguous,UK,MEDIUM,,2013,modal_800chars,MEDIUM,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,37.5,2,SECTOR: TIED between education and arts_culture — ambiguous | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
114,Reports Database:Galveston Sustainable Return on Investment,environment,LOW,TIED between environment and housing — ambiguous,Canada,MEDIUM,NARROW margin (1),2013,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,50.0,2,SECTOR: TIED between environment and housing — ambiguous | COUNTRY: NARROW margin (1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
115,Reports Database:Social Return on Investment Forecast – Foresters Community Fina,environment,LOW,TIED between environment and housing — ambiguous,Australia,HIGH,,2013,explicit_pattern,HIGH,,Forecast,keyword_match,MEDIUM,,,N/A,,87.5,1,SECTOR: TIED between environment and housing — ambiguous | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental
